Word1,Word2,similarity_score,ground_truth_similarity,label
मोहब्बत,सेक्स,3.480145553775274,6.8,0
बाघ,बिल्ली,5.456492759773401,7.0,0
किताब,कागज़,5.772483683253552,7.6,0
कंप्यूटर,कीबोर्ड,5.557799396620201,7.6,0
कंप्यूटर,इंटरनेट,6.982660767421118,8.0,0
विमान,कार,6.010701311512702,6.0,0
रेलगाड़ी,कार,5.693607316364026,6.2,0
टेलीफोन,संचार,5.599376998623905,7.6,0
टेलीविजन,रेडियो,6.654107970125889,6.4,0
मीडिया,रेडियो,5.226255659627412,5.8,0
ब्रेड,मक्खन,6.223899680544392,6.6,0
खीरा,आलू,5.69742798500349,5.8,0
चिकित्सक,नर्स,6.946243071744399,7.6,0
प्रोफ़ेसर,चिकित्सक,4.230558939923569,4.6,0
छात्र,प्रोफ़ेसर,4.828631470650287,7.0,0
होशियार,छात्र,3.895163707424181,5.2,0
होशियार,बेवकूफ,5.7032953670514575,6.2,0
किताब,पुस्तकालय,4.463667521211673,7.6,0
बैंक,पैसे,5.727216587830006,8.0,0
लकड़ी,जंगल,5.6610593462654135,7.0,0
प्रोफ़ेसर,खीरा,-0.9180405557172083,0.0,0
राजा,रानी,6.560090132816451,8.2,0
बिशप,रबी,0.7509658694115696,7.0,0
यरूशलेम,इजराइल,4.483538593202817,7.8,0
पवित्र,सेक्स,3.0761586489358805,1.0,0
माराडोना,फ़ुटबॉल,4.155328426164093,7.8,0
फ़ुटबॉल,सॉकर,6.6151995626269064,9.0,0
फ़ुटबॉल,बास्केटबाल,4.650058140679491,6.4,0
फ़ुटबॉल,टेनिस,5.496612360726071,5.8,0
टेनिस,रैकेट,4.362918463622095,7.4,0
कानून,वकील,5.814512758280368,7.8,0
चलचित्र,पॉपकॉर्न,2.8328028241596797,6.6,0
चलचित्र,आलोचक,2.4103499418425884,6.6,0
चलचित्र,थिएटर,3.292842052103669,8.4,0
पीना,कार,2.4717386074878154,1.4,0
पीना,कान,2.9407600446025093,0.4,0
पीना,मुंह,4.827905768592516,7.0,0
बच्चा,मां,6.59481810626284,7.2,0
पीना,मां,3.1777251252040766,1.8,0
मणि,गहना,2.945953189950716,6.8,0
भट्ठी,स्टोव,4.8474153274958365,8.4,0
भोजन,फल,6.67103870573821,6.6,0
पक्षी,सारस,6.89594797050313,7.4,0
भाई,साधु,3.9793450762662497,1.4,0
यात्रा,कार,5.045650046305318,6.2,0
साधु,गुलाम,2.054245560257942,0.2,0
कांच,जादूगर,2.2292475963852794,2.0,0
पैसे,मुद्रा,4.957973518525215,8.6,0
पैसे,धन,7.0465327685809145,9.2,0
पैसे,संपत्ति,6.021394869574788,8.4,0
पैसे,बैंक,5.727216587830006,8.2,0
पैसे,जमा,6.29725599186076,6.6,0
पैसे,ऑपरेशन,3.440611757357839,2.6,0
बाघ,जैगुआर,2.799589476900255,8.0,0
बाघ,जानवर,7.211980220734992,7.6,0
बाघ,चिड़ियाघर,5.449349661662158,6.8,0
मनोविज्ञान,चिंता,3.2346004711450744,6.2,0
मनोविज्ञान,डर,2.495065401315159,5.2,0
मनोविज्ञान,डिप्रेशन,3.3332068884988924,7.0,0
मनोविज्ञान,क्लिनिक,3.3333522632918173,6.4,0
मनोविज्ञान,चिकित्सक,4.8806905472626125,7.0,0
मनोविज्ञान,मन,3.659041887504645,7.4,0
मनोविज्ञान,स्वास्थ्य,5.15601264509926,6.2,0
मनोविज्ञान,विज्ञान,7.450683205393639,7.0,0
मनोविज्ञान,अनुशासन,5.041249928481309,4.2,0
Total Accuracy --> 83.07692307692308,,,,
