Word1,Word2,similarity_score,ground_truth_similarity,label
मोहब्बत,सेक्स,4.556120320838859,6.8,0
बाघ,बिल्ली,6.9956134511686265,7.0,0
किताब,कागज़,6.167408639200913,7.6,0
कंप्यूटर,कीबोर्ड,7.387562090570467,7.6,1
कंप्यूटर,इंटरनेट,8.13294149263753,8.0,1
विमान,कार,7.317672686362291,6.0,1
रेलगाड़ी,कार,7.450867832356939,6.2,1
टेलीफोन,संचार,6.053941003030216,7.6,0
टेलीविजन,रेडियो,8.3315596384459,6.4,1
मीडिया,रेडियो,6.60815742360921,5.8,0
ब्रेड,मक्खन,7.836548678061744,6.6,1
खीरा,आलू,8.782092516469058,5.8,1
चिकित्सक,नर्स,7.488391426243308,7.6,1
प्रोफ़ेसर,चिकित्सक,5.7492863975656725,4.6,0
छात्र,प्रोफ़ेसर,5.532458252865803,7.0,0
होशियार,छात्र,5.0354660590687566,5.2,0
होशियार,बेवकूफ,6.357782856177994,6.2,0
किताब,पुस्तकालय,5.051687724316398,7.6,0
बैंक,पैसे,6.151033949810061,8.0,0
लकड़ी,जंगल,6.1856738149827,7.0,0
प्रोफ़ेसर,खीरा,0.7584116665629287,0.0,0
राजा,रानी,7.287682079441861,8.2,1
बिशप,रबी,0.5780582413511102,7.0,0
यरूशलेम,इजराइल,5.906176388456229,7.8,0
पवित्र,सेक्स,2.598041077541586,1.0,0
माराडोना,फ़ुटबॉल,8.157988105674281,7.8,1
फ़ुटबॉल,सॉकर,8.859201805438332,9.0,1
फ़ुटबॉल,बास्केटबाल,7.5522693428479855,6.4,1
फ़ुटबॉल,टेनिस,8.14126371171861,5.8,1
टेनिस,रैकेट,5.473046106429429,7.4,0
कानून,वकील,5.814789620237519,7.8,0
चलचित्र,पॉपकॉर्न,3.776335116202432,6.6,0
चलचित्र,आलोचक,4.107886821009626,6.6,0
चलचित्र,थिएटर,6.051635705719538,8.4,0
पीना,कार,2.715610014140651,1.4,0
पीना,कान,4.698448198330697,0.4,0
पीना,मुंह,5.286826462565396,7.0,0
बच्चा,मां,6.127400891155183,7.2,0
पीना,मां,3.889408018394338,1.8,0
मणि,गहना,4.162649452844062,6.8,0
भट्ठी,स्टोव,7.859680202908978,8.4,1
भोजन,फल,7.075401224921657,6.6,1
पक्षी,सारस,8.990167376090744,7.4,1
भाई,साधु,4.486233580974009,1.4,0
यात्रा,कार,5.377228688091623,6.2,0
साधु,गुलाम,3.4327039370226666,0.2,0
कांच,जादूगर,4.556710791498263,2.0,0
पैसे,मुद्रा,5.651422990360098,8.6,0
पैसे,धन,7.15518395225494,9.2,1
पैसे,संपत्ति,6.420890301011887,8.4,0
पैसे,बैंक,6.151033949810061,8.2,0
पैसे,जमा,6.218356760775934,6.6,0
पैसे,ऑपरेशन,3.8370698380041652,2.6,0
बाघ,जैगुआर,4.950258551461707,8.0,0
बाघ,जानवर,7.793151823058613,7.6,1
बाघ,चिड़ियाघर,7.32068084127948,6.8,1
मनोविज्ञान,चिंता,4.206216365637578,6.2,0
मनोविज्ञान,डर,2.874052559486016,5.2,0
मनोविज्ञान,डिप्रेशन,5.14192392709682,7.0,0
मनोविज्ञान,क्लिनिक,5.181879567693501,6.4,0
मनोविज्ञान,चिकित्सक,6.0052891213026784,7.0,0
मनोविज्ञान,मन,4.590188171200643,7.4,0
मनोविज्ञान,स्वास्थ्य,5.584522584919826,6.2,0
मनोविज्ञान,विज्ञान,8.348416291826245,7.0,1
मनोविज्ञान,अनुशासन,6.813349598088449,4.2,0
Total Accuracy --> 53.84615384615385,,,,
