Word1,Word2,similarity_score,ground_truth_similarity,label
मोहब्बत,सेक्स,4.112745459065295,6.8,0
बाघ,बिल्ली,6.974892800836833,7.0,1
किताब,कागज़,5.9858907865972375,7.6,0
कंप्यूटर,कीबोर्ड,7.53007728696677,7.6,1
कंप्यूटर,इंटरनेट,8.131585472972377,8.0,1
विमान,कार,7.01431477677223,6.0,1
रेलगाड़ी,कार,6.653253623185805,6.2,1
टेलीफोन,संचार,6.113987105698499,7.6,1
टेलीविजन,रेडियो,8.476100703554811,6.4,1
मीडिया,रेडियो,6.3667611439666345,5.8,1
ब्रेड,मक्खन,7.680883061572727,6.6,1
खीरा,आलू,8.642040515988892,5.8,1
चिकित्सक,नर्स,7.309511701515215,7.6,1
प्रोफ़ेसर,चिकित्सक,6.190771693720007,4.6,1
छात्र,प्रोफ़ेसर,5.580414195867101,7.0,0
होशियार,छात्र,5.1301720610155455,5.2,0
होशियार,बेवकूफ,6.1532950188318525,6.2,1
किताब,पुस्तकालय,5.099877690613315,7.6,0
बैंक,पैसे,5.893449720755682,8.0,0
लकड़ी,जंगल,6.346297474007347,7.0,1
प्रोफ़ेसर,खीरा,1.509177197496807,0.0,0
राजा,रानी,7.525456817483798,8.2,1
बिशप,रबी,1.1724321838269272,7.0,0
यरूशलेम,इजराइल,5.76326683819977,7.8,0
पवित्र,सेक्स,2.694661130961469,1.0,0
माराडोना,फ़ुटबॉल,7.882922676717991,7.8,1
फ़ुटबॉल,सॉकर,8.880374746573125,9.0,1
फ़ुटबॉल,बास्केटबाल,7.837490501499841,6.4,1
फ़ुटबॉल,टेनिस,8.265294667797596,5.8,1
टेनिस,रैकेट,5.745199952955138,7.4,0
कानून,वकील,5.45571018532279,7.8,0
चलचित्र,पॉपकॉर्न,3.934198280314396,6.6,0
चलचित्र,आलोचक,3.8334176922215812,6.6,0
चलचित्र,थिएटर,6.50698909640568,8.4,1
पीना,कार,4.159301977764974,1.4,0
पीना,कान,4.9196363326956165,0.4,0
पीना,मुंह,5.231119548013188,7.0,0
बच्चा,मां,5.782907980993879,7.2,0
पीना,मां,4.0724909738293205,1.8,0
मणि,गहना,4.773124576272199,6.8,0
भट्ठी,स्टोव,7.7445426181345525,8.4,1
भोजन,फल,6.963860248860057,6.6,1
पक्षी,सारस,9.142485318456755,7.4,1
भाई,साधु,4.011827608923379,1.4,0
यात्रा,कार,4.842876689797155,6.2,0
साधु,गुलाम,2.947344742484297,0.2,0
कांच,जादूगर,4.502966516671435,2.0,0
पैसे,मुद्रा,5.498537596784324,8.6,0
पैसे,धन,6.731790099335733,9.2,1
पैसे,संपत्ति,6.241676762674268,8.4,1
पैसे,बैंक,5.893449720755682,8.2,0
पैसे,जमा,6.243772187039003,6.6,1
पैसे,ऑपरेशन,4.203757437172108,2.6,0
बाघ,जैगुआर,5.031122827706092,8.0,0
बाघ,जानवर,7.669291129784818,7.6,1
बाघ,चिड़ियाघर,7.36362493450183,6.8,1
मनोविज्ञान,चिंता,3.8289478602254405,6.2,0
मनोविज्ञान,डर,2.490256460100227,5.2,0
मनोविज्ञान,डिप्रेशन,5.321744145375718,7.0,0
मनोविज्ञान,क्लिनिक,5.237718527722591,6.4,0
मनोविज्ञान,चिकित्सक,6.241836059276737,7.0,1
मनोविज्ञान,मन,4.440145096789758,7.4,0
मनोविज्ञान,स्वास्थ्य,5.524333439386516,6.2,0
मनोविज्ञान,विज्ञान,8.489979097066637,7.0,1
मनोविज्ञान,अनुशासन,6.5861538186988335,4.2,1
Total Accuracy --> 56.92307692307692,,,,
