Word1,Word2,similarity_score,ground_truth_similarity,label
मोहब्बत,सेक्स,2.907281677692377,6.8,0
बाघ,बिल्ली,4.952309846687534,7.0,0
किताब,कागज़,4.975152151917862,7.6,0
कंप्यूटर,कीबोर्ड,7.10952930846509,7.6,1
कंप्यूटर,इंटरनेट,7.57669255372087,8.0,1
विमान,कार,5.671211186720955,6.0,0
रेलगाड़ी,कार,6.380333195997666,6.2,1
टेलीफोन,संचार,3.8968205276797105,7.6,0
टेलीविजन,रेडियो,7.579631891221923,6.4,1
मीडिया,रेडियो,3.8633536656129506,5.8,0
ब्रेड,मक्खन,7.405226380265059,6.6,1
खीरा,आलू,7.60917701681403,5.8,1
चिकित्सक,नर्स,6.815500566974933,7.6,1
प्रोफ़ेसर,चिकित्सक,4.18370641474549,4.6,0
छात्र,प्रोफ़ेसर,4.11780202851284,7.0,0
होशियार,छात्र,0.9589301222139266,5.2,0
होशियार,बेवकूफ,5.665164007058433,6.2,0
किताब,पुस्तकालय,2.7171659153338314,7.6,0
बैंक,पैसे,3.7189342593041856,8.0,0
लकड़ी,जंगल,4.945583619561452,7.0,0
प्रोफ़ेसर,खीरा,0.19245503751483597,0.0,0
राजा,रानी,6.203162739197172,8.2,1
बिशप,रबी,-0.7920496439436047,7.0,0
यरूशलेम,इजराइल,4.7728085245652405,7.8,0
पवित्र,सेक्स,0.92192951059479,1.0,0
माराडोना,फ़ुटबॉल,6.6488049991812375,7.8,1
फ़ुटबॉल,सॉकर,8.32990261180973,9.0,1
फ़ुटबॉल,बास्केटबाल,7.28721247435971,6.4,1
फ़ुटबॉल,टेनिस,7.290949836910552,5.8,1
टेनिस,रैकेट,2.688057859019107,7.4,0
कानून,वकील,3.4623490814153834,7.8,0
चलचित्र,पॉपकॉर्न,1.838439854322449,6.6,0
चलचित्र,आलोचक,2.252123734238679,6.6,0
चलचित्र,थिएटर,4.249257289092371,8.4,0
पीना,कार,0.06323741999582609,1.4,0
पीना,कान,0.8611553090666041,0.4,0
पीना,मुंह,1.8902436097079147,7.0,0
बच्चा,मां,4.881159011800195,7.2,0
पीना,मां,1.7110485122777208,1.8,0
मणि,गहना,2.907707854635384,6.8,0
भट्ठी,स्टोव,7.090318957017844,8.4,1
भोजन,फल,5.576592477564397,6.6,0
पक्षी,सारस,8.298599564036465,7.4,1
भाई,साधु,1.9574222493933342,1.4,0
यात्रा,कार,3.0940470950612435,6.2,0
साधु,गुलाम,1.8205594583906461,0.2,0
कांच,जादूगर,2.5605245736786877,2.0,0
पैसे,मुद्रा,2.168049301113367,8.6,0
पैसे,धन,6.089305625482898,9.2,1
पैसे,संपत्ति,4.1085199143105084,8.4,0
पैसे,बैंक,3.7189342593041856,8.2,0
पैसे,जमा,3.572857326261693,6.6,0
पैसे,ऑपरेशन,0.9393736697448354,2.6,0
बाघ,जैगुआर,2.116687601782547,8.0,0
बाघ,जानवर,6.607554421830027,7.6,1
बाघ,चिड़ियाघर,5.781770396212446,6.8,0
मनोविज्ञान,चिंता,1.3594138171837464,6.2,0
मनोविज्ञान,डर,-0.8221645095127468,5.2,0
मनोविज्ञान,डिप्रेशन,2.798533735316676,7.0,0
मनोविज्ञान,क्लिनिक,2.2576481716346724,6.4,0
मनोविज्ञान,चिकित्सक,3.8230036741616042,7.0,0
मनोविज्ञान,मन,2.0537529406757145,7.4,0
मनोविज्ञान,स्वास्थ्य,3.7996269316405717,6.2,0
मनोविज्ञान,विज्ञान,7.578861709034998,7.0,1
मनोविज्ञान,अनुशासन,4.58410677729242,4.2,0
Total Accuracy --> 44.61538461538462,,,,
