QueryID,Iteration,DocID,Relevance
Q01,1,D00844.txt,1
Q01,1,D00370.txt,1
Q01,1,D00606.txt,1
Q01,1,D00634.txt,1
Q01,1,D00778.txt,1
Q02,1,P_1288.txt,1
Q02,1,P_1289.txt,1
Q02,1,P_1287.txt,1
Q02,1,P_1946.txt,1
Q02,1,P_1577.txt,1
Q03,1,L00015.txt,1
Q03,1,L00377.txt,1
Q03,1,L00011.txt,1
Q03,1,L00262.txt,1
Q03,1,L00342.txt,1
Q04,1,D00924.txt,1
Q04,1,D00341.txt,1
Q04,1,S00846.txt,1
Q04,1,L00472.txt,1
Q04,1,S00575.txt,1
Q05,1,C00027.txt,1
Q05,1,C00011.txt,1
Q05,1,C00037.txt,1
Q05,1,C00195.txt,1
Q05,1,C00773.txt,1
Q06,1,L00061.txt,1
Q06,1,D00180.txt,1
Q06,1,D00316.txt,1
Q06,1,P_1111.txt,1
Q06,1,D00250.txt,1
Q07,1,P_1096.txt,1
Q07,1,P_1274.txt,1
Q07,1,P_1297.txt,1
Q07,1,P_1273.txt,1
Q07,1,P_1091.txt,1
Q08,1,R00326.txt,1
Q08,1,C00409.txt,1
Q08,1,S00950.txt,1
Q08,1,S00386.txt,1
Q08,1,S00015.txt,1
Q09,1,T00615.txt,1
Q09,1,T00616.txt,1
Q09,1,T00598.txt,1
Q09,1,T00609.txt,1
Q09,1,T00597.txt,1
Q10,1,L00474.txt,1
Q10,1,T00102.txt,1
Q10,1,S00063.txt,1
Q10,1,S00834.txt,1
Q10,1,L00405.txt,1
Q11,1,C00391.txt,1
Q11,1,C00832.txt,1
Q11,1,C00200.txt,1
Q11,1,C00037.txt,1
Q11,1,C00999.txt,1
Q12,1,P_116.txt,1
Q12,1,P_1851.txt,1
Q12,1,P_607.txt,1
Q12,1,P_533.txt,1
Q12,1,P04058.txt,1
Q13,1,D00301.txt,1
Q13,1,D00564.txt,1
Q13,1,C00133.txt,1
Q13,1,C00053.txt,1
Q13,1,C00050.txt,1
Q14,1,S00548.txt,1
Q14,1,S00490.txt,1
Q14,1,S00365.txt,1
Q14,1,C00134.txt,1
Q14,1,S00231.txt,1
Q15,1,S00821.txt,1
Q15,1,D00933.txt,1
Q15,1,S00697.txt,1
Q15,1,D00361.txt,1
Q15,1,D00644.txt,1
Q16,1,S00099.txt,1
Q16,1,M00228.txt,1
Q16,1,C00767.txt,1
Q16,1,C00378.txt,1
Q16,1,C00737.txt,1
Q17,1,D00117.txt,1
Q17,1,C00829.txt,1
Q17,1,P_1453.txt,1
Q17,1,D00292.txt,1
Q17,1,P_1531.txt,1
Q18,1,C00383.txt,1
Q18,1,M00112.txt,1
Q18,1,C00290.txt,1
Q18,1,S00438.txt,1
Q18,1,C00326.txt,1
Q19,1,C00133.txt,1
Q19,1,C00053.txt,1
Q19,1,C00050.txt,1
Q19,1,C00242.txt,1
Q19,1,C00959.txt,1
Q20,1,C00023.txt,1
Q20,1,C00008.txt,1
Q20,1,C00240.txt,1
Q20,1,C00001.txt,1
Q20,1,C00118.txt,1
