QueryID,Iteration,DocID,Relevance
Q01,1,C00001.txt,1
Q01,1,C00003.txt,1
Q01,1,C00005.txt,1
Q01,1,C00006.txt,1
Q01,1,C00007.txt,1
Q02,1,C00008.txt,1
Q02,1,C00016.txt,1
Q02,1,C00041.txt,1
Q02,1,C00043.txt,1
Q02,1,C00048.txt,1
Q03,1,D00464.txt,1
Q03,1,D00592.txt,1
Q03,1,L00009.txt,1
Q03,1,L00011.txt,1
Q03,1,L00015.txt,1
Q04,1,C00008.txt,1
Q04,1,C00016.txt,1
Q04,1,C00017.txt,1
Q04,1,C00018.txt,1
Q04,1,C00039.txt,1
Q05,1,C00001.txt,1
Q05,1,C00003.txt,1
Q05,1,C00004.txt,1
Q05,1,C00006.txt,1
Q05,1,C00007.txt,1
Q06,1,C00002.txt,1
Q06,1,C00006.txt,1
Q06,1,C00008.txt,1
Q06,1,C00011.txt,1
Q06,1,C00015.txt,1
Q07,1,C00916.txt,1
Q07,1,C00936.txt,1
Q07,1,D00210.txt,1
Q07,1,D00283.txt,1
Q07,1,D00286.txt,1
Q08,1,C00002.txt,1
Q08,1,C00003.txt,1
Q08,1,C00004.txt,1
Q08,1,C00005.txt,1
Q08,1,C00006.txt,1
Q09,1,C00017.txt,1
Q09,1,C00043.txt,1
Q09,1,C00097.txt,1
Q09,1,C00120.txt,1
Q09,1,C00219.txt,1
Q10,1,C00001.txt,1
Q10,1,C00002.txt,1
Q10,1,C00003.txt,1
Q10,1,C00005.txt,1
Q10,1,C00006.txt,1
Q11,1,C00001.txt,1
Q11,1,C00007.txt,1
Q11,1,C00009.txt,1
Q11,1,C00012.txt,1
Q11,1,C00023.txt,1
Q12,1,C00001.txt,1
Q12,1,C00002.txt,1
Q12,1,C00003.txt,1
Q12,1,C00004.txt,1
Q12,1,C00005.txt,1
Q13,1,C00004.txt,1
Q13,1,C00006.txt,1
Q13,1,C00012.txt,1
Q13,1,C00017.txt,1
Q13,1,C00018.txt,1
Q14,1,C00001.txt,1
Q14,1,C00002.txt,1
Q14,1,C00003.txt,1
Q14,1,C00004.txt,1
Q14,1,C00005.txt,1
Q15,1,C00001.txt,1
Q15,1,C00023.txt,1
Q15,1,C00118.txt,1
Q15,1,C00414.txt,1
Q15,1,D00002.txt,1
Q16,1,C00001.txt,1
Q16,1,C00002.txt,1
Q16,1,C00003.txt,1
Q16,1,C00004.txt,1
Q16,1,C00005.txt,1
Q17,1,C00001.txt,1
Q17,1,C00002.txt,1
Q17,1,C00003.txt,1
Q17,1,C00004.txt,1
Q17,1,C00005.txt,1
Q18,1,C00054.txt,1
Q18,1,C00127.txt,1
Q18,1,C00326.txt,1
Q18,1,C00383.txt,1
Q18,1,C00423.txt,1
Q19,1,C00005.txt,1
Q19,1,C00006.txt,1
Q19,1,C00008.txt,1
Q19,1,C00011.txt,1
Q19,1,C00012.txt,1
Q20,1,C00001.txt,1
Q20,1,C00002.txt,1
Q20,1,C00003.txt,1
Q20,1,C00005.txt,1
Q20,1,C00006.txt,1
