QueryID,Iteration,DocID,Relevance
Q01,1,S00060.txt,1
Q01,1,D00844.txt,1
Q01,1,D00082.txt,1
Q01,1,D00916.txt,1
Q01,1,S00823.txt,1
Q01,1,D00030.txt,1
Q01,1,S00015.txt,1
Q01,1,S00386.txt,1
Q01,1,D00048.txt,1
Q01,1,S00027.txt,1
Q02,1,S00060.txt,1
Q02,1,D00844.txt,1
Q02,1,D00082.txt,1
Q02,1,D00916.txt,1
Q02,1,S00823.txt,1
Q02,1,D00030.txt,1
Q02,1,S00015.txt,1
Q02,1,S00386.txt,1
Q02,1,D00048.txt,1
Q02,1,S00027.txt,1
Q03,1,L00015.txt,1
Q03,1,L00377.txt,1
Q03,1,L00439.txt,1
Q03,1,L00373.txt,1
Q03,1,L00308.txt,1
Q03,1,L00351.txt,1
Q03,1,S00569.txt,1
Q03,1,L00342.txt,1
Q03,1,L00474.txt,1
Q03,1,L00455.txt,1
Q04,1,L00015.txt,1
Q04,1,L00377.txt,1
Q04,1,L00439.txt,1
Q04,1,L00373.txt,1
Q04,1,L00308.txt,1
Q04,1,L00351.txt,1
Q04,1,S00569.txt,1
Q04,1,L00342.txt,1
Q04,1,L00474.txt,1
Q04,1,L00455.txt,1
Q05,1,L00015.txt,1
Q05,1,L00377.txt,1
Q05,1,L00439.txt,1
Q05,1,L00373.txt,1
Q05,1,L00308.txt,1
Q05,1,L00351.txt,1
Q05,1,C00027.txt,1
Q05,1,S00569.txt,1
Q05,1,L00342.txt,1
Q05,1,L00474.txt,1
Q06,1,L00015.txt,1
Q06,1,L00377.txt,1
Q06,1,L00439.txt,1
Q06,1,L00373.txt,1
Q06,1,L00308.txt,1
Q06,1,D00180.txt,1
Q06,1,L00351.txt,1
Q06,1,C00027.txt,1
Q06,1,S00569.txt,1
Q06,1,L00342.txt,1
Q07,1,L00015.txt,1
Q07,1,L00377.txt,1
Q07,1,L00439.txt,1
Q07,1,L00373.txt,1
Q07,1,L00308.txt,1
Q07,1,D00180.txt,1
Q07,1,L00351.txt,1
Q07,1,C00027.txt,1
Q07,1,S00569.txt,1
Q07,1,L00342.txt,1
Q08,1,L00015.txt,1
Q08,1,R00326.txt,1
Q08,1,L00377.txt,1
Q08,1,L00439.txt,1
Q08,1,L00373.txt,1
Q08,1,L00308.txt,1
Q08,1,D00180.txt,1
Q08,1,L00351.txt,1
Q08,1,C00027.txt,1
Q08,1,S00569.txt,1
Q09,1,L00015.txt,1
Q09,1,R00326.txt,1
Q09,1,T00615.txt,1
Q09,1,L00377.txt,1
Q09,1,L00439.txt,1
Q09,1,L00373.txt,1
Q09,1,T00673.txt,1
Q09,1,L00308.txt,1
Q09,1,D00180.txt,1
Q09,1,T00666.txt,1
Q10,1,L00474.txt,1
Q10,1,L00015.txt,1
Q10,1,R00326.txt,1
Q10,1,T00615.txt,1
Q10,1,L00377.txt,1
Q10,1,L00439.txt,1
Q10,1,T00145.txt,1
Q10,1,L00373.txt,1
Q10,1,T00673.txt,1
Q10,1,T00105.txt,1
Q11,1,L00474.txt,1
Q11,1,L00015.txt,1
Q11,1,C00009.txt,1
Q11,1,R00326.txt,1
Q11,1,T00615.txt,1
Q11,1,C00006.txt,1
Q11,1,L00377.txt,1
Q11,1,C00376.txt,1
Q11,1,C00069.txt,1
Q11,1,L00439.txt,1
Q12,1,L00474.txt,1
Q12,1,L00015.txt,1
Q12,1,C00009.txt,1
Q12,1,R00326.txt,1
Q12,1,T00615.txt,1
Q12,1,C00006.txt,1
Q12,1,L00377.txt,1
Q12,1,C00376.txt,1
Q12,1,C00069.txt,1
Q12,1,L00439.txt,1
Q13,1,L00474.txt,1
Q13,1,L00015.txt,1
Q13,1,S00428.txt,1
Q13,1,C00009.txt,1
Q13,1,R00326.txt,1
Q13,1,T00615.txt,1
Q13,1,D00564.txt,1
Q13,1,D00301.txt,1
Q13,1,C00006.txt,1
Q13,1,L00377.txt,1
Q14,1,L00474.txt,1
Q14,1,L00015.txt,1
Q14,1,S00428.txt,1
Q14,1,C00009.txt,1
Q14,1,R00326.txt,1
Q14,1,T00615.txt,1
Q14,1,D00564.txt,1
Q14,1,D00301.txt,1
Q14,1,C00006.txt,1
Q14,1,L00377.txt,1
Q15,1,L00474.txt,1
Q15,1,L00015.txt,1
Q15,1,S00428.txt,1
Q15,1,C00009.txt,1
Q15,1,R00326.txt,1
Q15,1,T00615.txt,1
Q15,1,D00564.txt,1
Q15,1,D00301.txt,1
Q15,1,C00006.txt,1
Q15,1,L00377.txt,1
Q16,1,L00474.txt,1
Q16,1,L00015.txt,1
Q16,1,S00428.txt,1
Q16,1,C00009.txt,1
Q16,1,R00326.txt,1
Q16,1,T00615.txt,1
Q16,1,D00564.txt,1
Q16,1,D00301.txt,1
Q16,1,C00006.txt,1
Q16,1,L00377.txt,1
Q17,1,L00474.txt,1
Q17,1,D00117.txt,1
Q17,1,L00015.txt,1
Q17,1,S00428.txt,1
Q17,1,C00009.txt,1
